Date,ProductID,ProductName,Category,Supplier,UnitPrice,StockQuantity,StockValue,ReorderLevel,ReorderQuantity,UnitsSold,SalesValue,LastSoldDate,LastRestockDate,NextRestockDate,DeliveryTimeDays,DeliveryStatus
2024-03-09,a8cf4d43-f0fc-43b0-a6f6-74f30b13b5db,Juice,Beverages,Mcdowell Group,89.94,55,4946.7,34,47,4,359.76,2024-04-18,2024-06-10,2024-07-04,9,On Time
2024-03-12,9740c875-68c3-4909-8f88-8069bf5ab35b,Bread,Bakery,"Nunez, Miles and Palmer",9.82,189,1855.98,12,22,5,49.1,2024-06-12,2024-06-22,2024-06-29,3,On Time
2024-01-23,98434ac8-5c4d-42c7-a26d-48c35f4849c9,Granola Bars,Snacks,Johnson-Vincent,48.66,130,6325.8,29,24,19,924.54,2024-04-29,2024-05-19,2024-05-28,7,Delayed
2024-03-27,438b285c-839f-413a-9d5d-6dc8d24a7a8d,Cream,Dairy,Key-Shah,54.87,96,5267.52,27,20,65,3566.55,2024-05-31,2024-02-24,2024-02-27,3,Partial Delivery
2024-01-21,45dd839a-911a-4c87-8217-5052b6a2c7aa,Potato,Produce,Jones Ltd,49.69,109,5416.21,9,66,11,546.59,2024-03-01,2024-05-25,2024-06-12,10,Partial Delivery
2024-05-29,c4e42ac4-f992-4ccd-bdea-82b4832d1d33,Pizza,Frozen,Ramos-Smith,68.94,118,8134.92,10,49,95,6549.3,2024-01-28,2024-03-24,2024-04-20,4,Partial Delivery
2024-03-13,db6e93a0-5e24-415a-b87e-ba55daa1d0fb,Beef,Meat,Washington Inc,20.64,150,3096,8,88,47,970.08,2024-04-05,2024-05-19,2024-06-15,5,On Time
2024-06-15,1d6d75c7-a057-4429-80cb-428753258929,Croissant,Bakery,"Hobbs, Molina and Butler",90.12,200,18024,8,68,141,12706.92,2024-01-30,2024-01-15,2024-01-22,6,Delayed
2024-05-07,063e90a7-7f88-4b22-a347-b6c02df0f68b,Frozen Vegetables,Frozen,Reynolds Inc,94.81,31,2939.11,32,71,7,663.67,2024-03-29,2024-04-11,2024-05-07,3,Delayed
2024-04-30,76dd213f-4774-42e5-89a5-ad5922ac3086,Pizza,Frozen,Roberts Group,84.65,144,12189.6,39,58,14,1185.1,2024-06-20,2024-04-24,2024-04-27,10,Partial Delivery
2024-01-02,08952771-861e-4610-a75a-7cd030062c3a,Toothpaste,Health & Beauty,Rose Ltd,79.87,125,9983.75,5,37,48,3833.76,2024-06-02,2024-04-20,2024-05-17,9,Delayed
2024-03-19,cd16af20-8568-4e62-893e-83b816ac2d6f,Soda,Beverages,Bates-Henderson,95.99,141,13534.59,39,50,89,8543.11,2024-03-23,2024-01-29,2024-02-08,10,Partial Delivery
2024-04-17,fd607e9d-55e1-451a-b65d-e193c17a8474,Cheese,Dairy,Bird Group,81.7,72,5882.4,34,81,12,980.4,2024-06-12,2024-05-29,2024-06-26,5,Partial Delivery
2024-06-28,2047e473-aacd-4c65-ba6a-87f435c38db1,Fish,Meat,Lee PLC,45.45,190,8635.5,34,72,149,6772.05,2024-05-04,2024-05-04,2024-05-09,5,On Time
2024-02-12,231cc232-221a-4425-9f9a-c5ed14709b6f,Beef,Meat,"Stone, Howell and Thomas",58.87,191,11244.17,39,49,161,9478.07,2024-03-30,2024-06-29,2024-07-01,7,Partial Delivery
2024-05-20,3caaaf59-432e-49f8-aad7-7f7af0ba242c,Yogurt,Dairy,Garcia Group,91.09,50,4554.5,45,77,30,2732.7,2024-06-23,2024-04-07,2024-04-09,1,Delayed
2024-04-26,415ea0be-dcad-4aa4-b7c7-845de0b37a66,Bread,Bakery,Morales-May,85.31,37,3156.47,29,83,37,3156.47,2024-06-12,2024-03-14,2024-03-31,7,Partial Delivery
2024-06-10,15bbae33-4e5d-47ca-bad2-28624de746d2,Lettuce,Produce,Silva-Cooper,62.49,172,10748.28,30,98,130,8123.7,2024-04-06,2024-03-11,2024-03-20,8,On Time
2024-01-09,fc689a59-b555-4510-b949-e376c24f8200,Milk,Dairy,Harvey Ltd,42.38,45,1907.1,6,45,28,1186.64,2024-05-13,2024-04-19,2024-04-26,3,On Time
2024-04-17,08333d83-bb29-468c-9f04-e12296232d09,Glass Cleaner,Cleaning Supplies,Kelley and Sons,30.1,179,5387.9,28,54,150,4515,2024-02-02,2024-06-30,2024-07-04,8,On Time
2024-03-24,31c1c024-68af-4f30-bb32-20e3152143f7,Lettuce,Produce,Mcbride-Barrera,27.81,123,3420.63,22,94,76,2113.56,2024-06-10,2024-05-20,2024-06-01,2,On Time
2024-06-18,0904fb33-43ef-4b77-95c8-51720054f07a,Body Lotion,Health & Beauty,West-Reid,96.91,29,2810.39,27,98,27,2616.57,2024-02-07,2024-02-24,2024-03-25,10,On Time
2024-04-19,31e2b2b6-58b5-4adb-981a-85ff6d6e7b41,Toothpaste,Health & Beauty,"Smith, Robinson and Goodwin",78.65,173,13606.45,27,75,35,2752.75,2024-01-30,2024-04-25,2024-05-17,6,On Time
2024-02-14,a55b5abe-3e01-40f4-ad0f-3528d02a991f,Deodorant,Health & Beauty,Vasquez-Rodriguez,48.9,32,1564.8,18,34,0,0,,2024-04-11,2024-05-05,5,Delayed
2024-03-02,508e9737-d5bf-486e-aadd-cc7b28ae58e0,Cream,Dairy,Martin-Scott,86.94,174,15127.56,20,56,82,7129.08,2024-02-16,2024-04-30,2024-05-05,3,Delayed
2024-04-14,d5cdeb00-e652-44b2-a5cc-b16b4f296550,Lamb,Meat,Dawson and Sons,7.54,100,754,37,49,40,301.6,2024-04-14,2024-03-11,2024-03-17,1,Partial Delivery
2024-05-30,892a1616-e253-40dc-b29c-4fa196217911,Toothpaste,Health & Beauty,Mitchell-Burns,98.64,70,6904.8,6,92,61,6017.04,2024-03-08,2024-06-28,2024-07-04,4,Delayed
2024-05-31,d8b731e5-0246-41a2-ba3a-b983ce9f7480,Chicken,Meat,Howe-Campos,58.2,165,9603,5,43,4,232.8,2024-03-25,2024-01-06,2024-02-03,2,Partial Delivery
2024-02-02,ebb593e3-b20f-4f06-b2fd-8601a02e7936,Laundry Detergent,Cleaning Supplies,Gamble-Adams,54.17,179,9696.43,10,40,166,8992.22,2024-04-26,2024-03-21,2024-04-11,1,Partial Delivery
2024-06-09,665d36f8-6594-439d-8eae-641e8a84c8d0,Water,Beverages,Pace PLC,2.37,155,367.35,41,90,145,343.65,2024-01-16,2024-06-29,2024-07-05,1,On Time
2024-06-09,dc1cba08-325d-407e-9883-e138eb5fafed,Body Lotion,Health & Beauty,Bautista and Sons,40.54,144,5837.76,43,74,103,4175.62,2024-01-23,2024-01-28,2024-02-11,9,Delayed
2024-03-23,93112a0a-11e9-43bf-a2fd-3872c77083ff,Glass Cleaner,Cleaning Supplies,Goodwin-Guzman,68.47,181,12393.07,8,67,94,6436.18,2024-01-08,2024-03-13,2024-03-21,1,Partial Delivery
2024-06-02,c0575c85-4353-43ef-b354-cd485360a5ad,Frozen Vegetables,Frozen,"Walker, Zamora and Mcdonald",95.32,54,5147.28,48,86,48,4575.36,2024-05-12,2024-04-14,2024-04-16,6,Partial Delivery
2024-05-06,b6d7ae7e-90ad-4e75-bcab-b373fb010cbb,Bread,Bakery,Smith and Sons,13.82,159,2197.38,5,81,71,981.22,2024-01-29,2024-02-21,2024-03-05,2,On Time
2024-05-12,664538d9-0b57-4ad9-9f49-6ade5a3a2487,Laundry Detergent,Cleaning Supplies,"Rodriguez, Osborn and Roberts",25,82,2050,12,95,71,1775,2024-06-21,2024-03-09,2024-03-22,8,Delayed
2024-03-05,26e9425c-2823-4aff-acfc-c35af7ca1eb8,Carrot,Produce,Chapman Group,60.07,124,7448.68,40,70,33,1982.31,2024-04-09,2024-02-13,2024-02-18,9,On Time
